Outcome	Grade	Gender	Ethnicity	Relig	Age	Work pattern	Loc	Disability	VES1
4	G7	Female	White	No religion	20s	Full Time	London	No	0
4	HEO	Male	White	No religion	20s	Full Time	London	No	0
4	SEO	Female	White	No religion	20s	Full Time	London	No	0
4	SEO	Male	White	No religion	20s	Full Time	London	No	0
4	SEO	Male	BME	No religion	20s	Full Time	London	No	0
4	EO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	EO	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	EO	Male	Not Declared	Not Declared	20s	Full Time	London	No	0
4	EO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	G7	Male	Not Declared	Not Declared	20s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	G7	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	G7	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
4	G7	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
4	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
4	HEO	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	HEO	Female	White	Not Declared	20s	Full Time	London	Not Declared	0
4	HEO	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
4	SEO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	G7	Male	White	Prefer not to say	20s	Full Time	London	Prefer not to say	0
4	G7	Female	White	Prefer not to say	20s	Full Time	London	No	0
4	HEO	Male	Prefer Not to Say	Prefer not to say	20s	Full Time	London	No	0
4	HEO	Male	Prefer Not to Say	Prefer not to say	20s	Full Time	London	No	0
4	G7	Male	White	Christian	20s	Full Time	London	No	0
4	G7	Male	White	No religion	20s	Full Time	Sheffield	No	0
4	HEO	Female	White	No religion	20s	Full Time	Sheffield	Not Declared	0
4	SEO	Male	White	No religion	20s	Full Time	Sheffield	No	0
4	G7	Male	White	Christian	20s	Full Time	Sheffield	Not Declared	0
4	G7	Female	White	No religion	20s	Full Time	Sheffield	No	0
1	EO	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
1	HEO	Male	White	No religion	20s	Full Time	Other	No	0
3	EO	Male	White	No religion	20s	Full Time	Other	No	0
3	AO	Male	BME	Religious (not Christian)	20s	Full Time	London	No	0
3	EO	Male	White	No religion	20s	Full Time	London	No	0
3	HEO	Female	White	No religion	20s	Full Time	London	No	0
3	HEO	Male	White	No religion	20s	Full Time	London	No	0
3	HEO	Male	White	No religion	20s	Full Time	London	No	0
3	HEO	Female	White	No religion	20s	Full Time	London	No	0
3	EO	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	EO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	G7	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
3	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	HEO	Female	Not Declared	Not Declared	20s	Part Time	London	Not Declared	0
3	EO	Male	White	Christian	20s	Full Time	London	Not Declared	0
3	G7	Male	White	No religion	20s	Full Time	London	No	0
3	G7	Male	White	No religion	20s	Full Time	London	No	0
3	G7	Male	White	No religion	20s	Full Time	London	No	0
3	HEO	Male	White	No religion	20s	Full Time	London	No	0
3	HEO	Female	White	No religion	20s	Full Time	London	Not Declared	0
3	G7	Male	White	No religion	20s	Full Time	London	No	0
3	G7	Male	White	No religion	20s	Full Time	London	Not Declared	0
3	HEO	Male	White	No religion	20s	Full Time	London	No	0
3	G7	Female	BME	Christian	20s	Full Time	London	No	0
3	G7	Male	White	Christian	20s	Full Time	London	No	0
3	HEO	Female	BME	Christian	20s	Full Time	London	No	0
3	HEO	Female	BME	Christian	20s	Full Time	London	No	0
3	HEO	Female	White	Christian	20s	Full Time	London	Yes	0
3	SEO	Male	White	Christian	20s	Full Time	London	No	0
3	SEO	Female	White	Christian	20s	Full Time	London	No	0
3	SEO	Male	White	Christian	20s	Full Time	London	No	0
3	G7	Male	White	Christian	20s	Full Time	London	No	0
3	G7	Female	White	Religious (not Christian)	20s	Full Time	London	No	0
3	G7	Female	BME	Religious (not Christian)	20s	Full Time	London	Not Declared	0
3	G7	Male	BME	Religious (not Christian)	20s	Full Time	London	Not Declared	0
3	EO	Female	White	No religion	20s	Full Time	London	No	0
3	EO	Male	White	No religion	20s	Full Time	London	No	0
3	G7	Female	White	No religion	20s	Full Time	London	No	0
3	G7	Female	BME	No religion	20s	Full Time	London	No	0
3	G7	Female	BME	No religion	20s	Full Time	London	No	0
3	G7	Female	White	No religion	20s	Full Time	London	No	0
3	G7	Male	White	No religion	20s	Full Time	London	No	0
3	HEO	Male	White	No religion	20s	Full Time	London	Not Declared	0
3	EO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	EO	Male	Not Declared	Not Declared	20s	Full Time	London	Yes	0
3	FS	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
3	FS	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	G7	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	G7	Male	Not Declared	Not Declared	20s	Full Time	London	No	0
3	G7	Male	White	Not Declared	20s	Full Time	London	No	0
3	G7	Female	White	Not Declared	20s	Full Time	London	No	0
3	HEO	Male	White	Not Declared	20s	Full Time	London	No	0
3	HEO	Female	White	Not Declared	20s	Full Time	London	Not Declared	0
3	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	No	0
3	HEO	Female	Not Declared	Not Declared	20s	Part Time	London	Not Declared	0
3	HEO	Female	BME	Not Declared	20s	Full Time	London	Not Declared	0
3	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
3	SEO	Male	Not Declared	Not Declared	20s	Full Time	London	No	0
3	HEO	Male	White	Prefer not to say	20s	Full Time	London	No	0
3	SEO	Female	White	Prefer not to say	20s	Full Time	London	No	0
3	SEO	Male	Not Declared	Prefer not to say	20s	Full Time	London	Prefer not to say	0
3	G7	Female	White	Christian	20s	Full Time	London	Prefer not to say	0
3	EO	Female	White	No religion	20s	Full Time	Sheffield	Not Declared	0
3	EO	Male	White	Christian	20s	Full Time	Sheffield	No	0
3	EO	Male	White	No religion	20s	Full Time	Sheffield	No	0
3	EO	Male	Not Declared	Not Declared	20s	Full Time	Sheffield	Not Declared	0
2	EO	Female	BME	Christian	20s	Full Time	Other	Not Declared	0
2	HEO	Male	White	No religion	20s	Full Time	Other	No	0
2	EO	Female	White	No religion	20s	Full Time	London	No	0
2	EO	Male	White	No religion	20s	Full Time	London	No	0
2	HEO	Male	White	No religion	20s	Full Time	London	Not Declared	0
2	SEO	Female	BME	Christian	20s	Full Time	London	Not Declared	0
2	SEO	Male	BME	Religious (not Christian)	20s	Full Time	London	Not Declared	0
2	G7	Female	White	No religion	20s	Full Time	London	No	0
2	G7	Male	Not Declared	Not Declared	20s	Full Time	London	No	0
2	G7	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
2	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
2	HEO	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
2	SEO	Male	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
2	HEO	Female	White	Prefer not to say	20s	Full Time	London	No	0
2	HEO	Female	Prefer Not to Say	Prefer not to say	20s	Full Time	London	Prefer not to say	0
2	G7	Female	White	Christian	20s	Full Time	London	Not Declared	0
2	HEO	Female	White	No religion	20s	Full Time	Sheffield	No	0
4	HEO	Female	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
4	G7	Female	White	Christian	30s	Full Time	Other	No	0
4	G7	Female	White	Christian	30s	Full Time	Other	No	0
4	EO	Female	Not Declared	Not Declared	30s	Full Time	Other	No	0
4	HEO	Male	White	Christian	30s	Full Time	Other	No	0
4	SEO	Male	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
4	SEO	Female	Not Declared	No religion	30s	Part Time	Other	Not Declared	0
4	G7	Male	White	No religion	30s	Full Time	Other	No	0
4	G7	Female	Not Declared	Not Declared	30s	Full Time	Other	No	0
4	G7	Female	Not Declared	Not Declared	30s	Part Time	Other	Not Declared	0
4	SEO	Male	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
4	EO	Female	Not Declared	Not Declared	30s	Part Time	Other	Not Declared	0
4	HEO	Female	White	Christian	30s	Full Time	Other	No	0
4	G7	Female	Not Declared	Christian	30s	Part Time	Other	No	0
4	SEO	Female	White	Not Declared	30s	Full Time	Other	No	0
4	G6	Male	White	No religion	30s	Full Time	London	No	0
4	G6	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	SEO	Female	White	No religion	30s	Full Time	London	No	0
4	G6	Female	White	No religion	30s	Full Time	London	No	0
4	G6	Male	White	No religion	30s	Full Time	London	No	0
4	G6	Male	White	No religion	30s	Full Time	London	No	0
4	G6	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	HEO	Female	Not Declared	No religion	30s	Full Time	London	No	0
4	HEO	Male	White	No religion	30s	Full Time	London	No	0
4	SEO	Female	White	No religion	30s	Full Time	London	No	0
4	SEO	Male	White	No religion	30s	Full Time	London	No	0
4	EO	Male	BME	Christian	30s	Full Time	London	No	0
4	G6	Female	White	Christian	30s	Full Time	London	No	0
4	G6	Female	Not Declared	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Male	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	HEO	Female	White	Christian	30s	Full Time	London	Not Declared	0
4	HEO	Female	Not Declared	Christian	30s	Full Time	London	Yes	0
4	HEO	Male	Not Declared	Christian	30s	Full Time	London	No	0
4	SEO	Female	BME	Christian	30s	Full Time	London	No	0
4	HEO	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Female	BME	Religious (not Christian)	30s	Full Time	London	No	0
4	HEO	Female	BME	Religious (not Christian)	30s	Full Time	London	No	0
4	G6	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Male	White	Religious (not Christian)	30s	Full Time	London	No	0
4	EO	Female	BME	Religious (not Christian)	30s	Full Time	London	Yes	0
4	G6	Female	Not Declared	No religion	30s	Full Time	London	No	0
4	G6	Female	BME	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Female	Not Declared	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Female	Not Declared	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	Not Declared	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Female	BME	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	HEO	Female	White	No religion	30s	Full Time	London	Yes	0
4	SEO	Male	White	No religion	30s	Full Time	London	No	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G7	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	White	Not Declared	30s	Full Time	London	Not Declared	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	HEO	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	HEO	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	HEO	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	SEO	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	SEO	Female	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G6	Male	Prefer Not to Say	Prefer not to say	30s	Full Time	London	Prefer not to say	0
4	HEO	Male	Prefer Not to Say	Prefer not to say	30s	Full Time	London	Prefer not to say	0
4	HEO	Female	White	Christian	30s	Part Time	London	No	0
4	G7	Female	Not Declared	Religious (not Christian)	30s	Full Time	London	No	0
4	G7	Male	BME	Religious (not Christian)	30s	Full Time	London	Not Declared	0
4	HEO	Female	BME	Religious (not Christian)	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	SEO	Male	White	No religion	30s	Full Time	London	No	0
4	G6	Female	BME	No religion	30s	Full Time	London	No	0
4	G6	Male	White	No religion	30s	Full Time	London	No	0
4	EO	Male	White	Christian	30s	Full Time	London	Yes	0
4	G6	Female	Not Declared	Christian	30s	Full Time	London	Not Declared	0
4	G6	Male	White	Christian	30s	Full Time	London	No	0
4	G6	Female	Not Declared	Christian	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Part Time	London	No	0
4	G7	Male	White	Christian	30s	Full Time	London	No	0
4	G7	Female	White	Christian	30s	Full Time	London	No	0
4	HEO	Male	White	Christian	30s	Full Time	London	No	0
4	HEO	Female	White	Christian	30s	Full Time	London	No	0
4	HEO	Male	White	Christian	30s	Full Time	London	No	0
4	HEO	Female	White	Christian	30s	Full Time	London	No	0
4	HEO	Male	White	Christian	30s	Full Time	London	No	0
4	HEO	Male	BME	Religious (not Christian)	30s	Full Time	London	Not Declared	0
4	G6	Male	White	Religious (not Christian)	30s	Full Time	London	Not Declared	0
4	G7	Female	Not Declared	Religious (not Christian)	30s	Full Time	London	No	0
4	G7	Male	BME	Religious (not Christian)	30s	Full Time	London	No	0
4	G7	Male	BME	Religious (not Christian)	30s	Full Time	London	Not Declared	0
4	EO	Female	White	No religion	30s	Part Time	London	No	0
4	G6	Male	White	No religion	30s	Full Time	London	No	0
4	G6	Female	White	No religion	30s	Part Time	London	No	0
4	G7	Female	White	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Male	White	No religion	30s	Full Time	London	No	0
4	G7	Male	BME	No religion	30s	Full Time	London	No	0
4	G7	Female	White	No religion	30s	Part Time	London	No	0
4	HEO	Male	White	No religion	30s	Full Time	London	No	0
4	SEO	Male	Prefer Not to Say	No religion	30s	Full Time	London	Not Declared	0
4	EO	Female	BME	Not Declared	30s	Part Time	London	No	0
4	G6	Female	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	Yes	0
4	G6	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	Yes	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G6	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Female	Not Declared	Not Declared	30s	Part Time	London	No	0
4	G6	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Female	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Female	White	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Female	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G7	Male	White	Not Declared	30s	Full Time	London	No	0
4	G7	Male	White	Not Declared	30s	Full Time	London	No	0
4	G7	Female	Not Declared	Not Declared	30s	Part Time	London	Not Declared	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
4	G7	Female	Not Declared	Not Declared	30s	Part Time	London	Not Declared	0
4	HEO	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
4	HEO	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	HEO	Male	White	Not Declared	30s	Full Time	London	No	0
4	SEO	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	SEO	Female	Not Declared	Not Declared	30s	Full Time	London	No	0
4	G6	Female	White	Prefer not to say	30s	Full Time	London	Yes	0
4	G7	Male	Prefer Not to Say	Prefer not to say	30s	Full Time	London	Not Declared	0
4	G7	Female	BME	Prefer not to say	30s	Part Time	London	No	0
4	G6	Male	BME	Religious (not Christian)	30s	Full Time	London	No	0
4	EO	Female	White	No religion	30s	Full Time	Other	No	0
4	HEO	Male	Not Declared	Not Declared	30s	Part Time	Other	No	0
4	G7	Male	White	Not Declared	30s	Full Time	Other	Not Declared	0
4	SEO	Male	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
4	G6	Female	White	Christian	30s	Full Time	Other	No	0
4	SEO	Male	Not Declared	No religion	30s	Full Time	Sheffield	No	0
4	G7	Male	White	No religion	30s	Full Time	Sheffield	No	0
4	SEO	Female	White	Religious (not Christian)	30s	Full Time	Sheffield	No	0
4	HEO	Female	White	Christian	30s	Part Time	Sheffield	No	0
4	G6	Male	Not Declared	No religion	30s	Full Time	Sheffield	No	0
4	HEO	Female	Not Declared	No religion	30s	Part Time	Sheffield	No	0
4	HEO	Female	Prefer Not to Say	Prefer not to say	30s	Full Time	Sheffield	Prefer not to say	0
4	SEO	Female	Prefer Not to Say	Prefer not to say	30s	Full Time	Sheffield	No	0
4	G7	Male	White	No religion	30s	Full Time	Sheffield	No	0
4	HEO	Female	White	No religion	30s	Full Time	Sheffield	No	0
4	G6	Male	White	No religion	30s	Full Time	Sheffield	No	0
4	SEO	Male	White	Christian	30s	Part Time	Sheffield	No	0
4	SEO	Male	Not Declared	Christian	30s	Full Time	Sheffield	No	0
4	G7	Male	White	No religion	30s	Full Time	Sheffield	No	0
4	G7	Male	White	No religion	30s	Part Time	Sheffield	No	0
4	G7	Male	White	No religion	30s	Part Time	Sheffield	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	Sheffield	No	0
4	G7	Female	White	Not Declared	30s	Full Time	Sheffield	No	0
4	G7	Male	Not Declared	Not Declared	30s	Full Time	Sheffield	Not Declared	0
4	HEO	Female	Not Declared	Not Declared	30s	Part Time	Sheffield	No	0
4	HEO	Male	White	Christian	30s	Full Time	Sheffield	No	0
4	EO	Female	Not Declared	Christian	30s	Full Time	Other	Yes	0
4	EO	Female	Not Declared	No religion	30s	Full Time	Other	No	0
1	HEO	Female	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
1	AO	Female	White	Religious (not Christian)	30s	Full Time	Other	No	0
1	G7	Male	BME	No religion	30s	Full Time	London	No	0
1	HEO	Male	White	Christian	30s	Full Time	London	Yes	0
1	HEO	Female	White	No religion	30s	Full Time	London	Yes	0
1	EO	Female	Not Declared	Not Declared	30s	Part Time	London	No	0
1	G7	Male	Not Declared	Not Declared	30s	Part Time	London	No	1
1	SEO	Male	Not Declared	Not Declared	30s	Full Time	London	Not Declared	0
1	EO	Female	White	No religion	30s	Part Time	London	Yes	0
1	G6	Female	White	No religion	30s	Full Time	London	No	1
1	G7	Male	White	Christian	30s	Full Time	London	No	0
1	SEO	Female	BME	Religious (not Christian)	30s	Full Time	London	No	0
1	EO	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
1	G6	Male	Not Declared	Not Declared	30s	Part Time	London	Not Declared	0
1	SEO	Male	Not Declared	Not Declared	30s	Full Time	London	No	0
1	G6	Male	White	Prefer not to say	30s	Full Time	London	No	0
1	G7	Female	Prefer Not to Say	No religion	30s	Full Time	Other	Not Declared	1
1	G7	Female	White	Christian	30s	Full Time	Other	Not Declared	0
1	HEO	Male	Not Declared	Not Declared	30s	Full Time	Sheffield	Not Declared	0
1	HEO	Male	Not Declared	Not Declared	30s	Full Time	Sheffield	Not Declared	0
3	G7	Female	White	No religion	30s	Full Time	Other	No	0
3	EO	Female	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
3	G6	Female	BME	No religion	30s	Full Time	Other	No	0
3	G6	Male	White	No religion	30s	Full Time	Other	No	0
3	SEO	Female	BME	Religious (not Christian)	30s	Full Time	Other	No	0
3	G7	Female	White	No religion	30s	Part Time	Other	No	0
3	EO	Female	White	Christian	30s	Part Time	Other	No	0
3	G7	Female	White	Christian	30s	Part Time	Other	No	0
3	EO	Male	White	Christian	30s	Full Time	Other	No	0
3	EO	Female	Not Declared	Not Declared	30s	Full Time	Other	No	0
3	HEO	Male	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
3	HEO	Male	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
3	HEO	Female	Not Declared	Not Declared	30s	Full Time	Other	Not Declared	0
3	EO	Male	White	No religion	30s	Full Time	Other	No	0
3	HEO	Male	White	No religion	30s	Full Time	Other	No	0
3	HEO	Female	White	Christian	30s	Part Time	Other	Prefer not to say	0
3	EO	Female	White	No religion	30s	Full Time	Other	No	0
3	EO	Female	Not Declared	No religion	30s	Part Time	Other	No	0
3	EO	Female	White	No religion	30s	Part Time	Other	No	0
3	HEO	Male	White	Not Declared	30s	Full Time	Other	Not Declared	0
3	G7	Female	Not Declared	Not Declared	30s	Part Time	Other	No	0
3	SEO	Female	White	Christian	30s	Part Time	Other	No	0
3	SEO	Male	White	Christian	30s	Full Time	Other	Not Declared	0
3	G6	Male	White	No religion	30s	Full Time	London	No	0
3	G6	Male	White	No religion	30s	Full Time	London	Prefer not to say	0
3	G6	Male	White	No religion	30s	Full Time	London	No	0
3	G7	Male	White	No religion	30s	Full Time	London	Prefer not to say	0
3	G7	Male	White	No religion	30s	Full Time	London	No	0
3	HEO	Male	White	No religion	30s	Full Time	London	No	1
3	SEO	Female	White	No religion	30s	Part Time	London	No	0
3	FS	Male	White	No religion	30s	Full Time	London	No	0
3	G7	Male	White	No religion	30s	Full Time	London	No	0
3	G7	Male	White	No religion	30s	Full Time	London	No	0
3	G7	Female	White	No religion	30s	Full Time	London	No	0
3	G7	Male	White	No religion	30s	Full Time	London	No	0
3	G7	Female	White	No religion	30s	Full Time	London	Not Declared	0
3	G7	Female	White	No religion	30s	Full Time	London	No	0
3	G7	Male	White	No religion	30s	Full Time	London	Not Declared	0
3	SEO	Male	White	No religion	30s	Full Time	London	Yes	0
3	SEO	Male	White	No religion	30s	Full Time	London	Yes	0
3	SEO	Female	White	No religion	30s	Full Time	London	No	0
3	SEO	Male	White	No religion	30s	Full Time	London	No	0
3	EO	Male	White	Christian	30s	Full Time	London	No	0
3	G6	Female	BME	Christian	30s	Part Time	London	No	0
3	G7	Female	Not Declared	Christian	30s	Full Time	London	No	0
3	G7	Female	White	Christian	30s	Full Time	London	No	0
3	G7	Male	White	Christian	30s	Full Time	London	No	0
3	G7	Female	White	Christian	30s	Full Time	London	No	0
3	G7	Female	White	Christian	30s	Full Time	London	No	0
3	G7	Male	Not Declared	Christian	30s	Full Time	London	No	0
3	G7	Female	White	Christian	30s	Full Time	London	No	0
3	G7	Male	White	Christian	30s	Full Time	London	Yes	0
3	G7	Male	White	Christian	30s	Full Time	London	No	0
3	G7	Female	White	Christian	30s	Full Time	London	No	0
3	G7	Female	White	Christian	30s	Full Time	London	No	0
3	G7	Female	White	Christian	30s	Full Time	London	No	0
